0;52
52;50
102;50
152;50
202;50
252;50
302;50
352;50
402;60
461;73
535;51
586;50
636;50
686;50
736;50
786;50
836;62
900;51
951;50
1001;50
1051;50
1101;55
1156;49
1205;50
1256;49
1305;53
1358;58
1416;52
1468;50
1517;52
1569;53
1623;50
1673;50
1723;52
1790;65
1855;59
1914;55
1969;51
2020;50
2069;49
2119;50
2169;50
2218;50
2269;50
2319;69
2387;60
2448;51
2499;51
2550;50
2600;51
2651;50
2701;53
2754;56
2811;58
2869;51
2920;51
2971;50
3021;50
3071;49
3120;49
3169;51
3221;49
3270;50
3320;60
3380;50
3430;51
3481;52
3533;49
3582;50
3632;50
3682;55
3737;60
3797;51
3849;50
3899;51
3950;51
4001;51
4051;54
4106;59
4165;60
4225;55
4281;50
4331;49
4380;50
4430;56
4486;50
4535;49
4585;49
4634;54
4688;54
4742;50
4792;50
4842;50
4892;53
4944;50
4995;50
5045;49
5094;50
5144;50
5194;50
5244;50
5294;50
5344;49
5393;55
5448;51
5499;50
5549;50
5599;55
5654;62
5716;66
5782;50
5833;50
5883;50
5933;52
5985;50
6035;50
6085;50
6135;56
6191;62
6253;50
6303;53
6355;49
6405;53
6458;52
6510;51
6560;60
6621;64
6685;70
6755;50
6805;51
6856;56
6912;49
6961;50
7011;50
7062;50
7112;54
7166;50
7216;50
7266;49
7315;51
7367;50
7417;50
7468;56
7523;84
7607;52
7660;50
7710;49
7759;49
7809;50
7860;50
7910;50
7960;51
8010;51
8062;52
8114;50
8165;50
8215;50
8265;50
8315;53
8368;59
8427;58
8485;70
8556;67
8623;51
8674;50
8724;50
8774;50
8824;49
8873;51
8924;64
8988;104
9092;56
9148;50
9198;51
9249;49
9299;50
9349;50
9399;51
9450;58
9509;75
9584;58
9642;50
9692;50
9742;50
9792;52
9844;50
9894;49
9943;50
9993;50
10043;52
10095;65
10160;51
10210;49
10260;50
10310;52
10362;50
10412;56
10468;60
10528;62
10590;55
10645;50
10696;50
10746;52
10798;50
10848;54
10902;52
10954;53
11008;60
11068;55
11123;49
11172;50
11223;49
11272;51
11323;50
11373;50
11423;53
11476;50
11526;52
11578;50
11628;52
11680;51
11731;52
11783;51
11834;54
11888;58
11946;62
12008;62
12070;60
12130;50
12180;50
12230;51
12281;55
12336;51
12387;50
12437;54
12491;51
12542;71
12613;56
12669;50
12719;51
12770;51
12822;50
12872;61
12933;58
12991;64
13055;67
13121;50
13172;49
13221;50
13271;51
13322;50
13372;49
13421;51
13472;52
13523;50
13574;52
13626;50
13675;52
13728;50
13778;53
13831;49
13880;53
13933;51
13984;56
14039;52
14092;50
14142;50
14192;50
14242;50
14292;51
14343;50
14393;60
14452;70
14523;52
14575;49
14625;52
14677;50
14727;50
14777;50
14827;55
14882;51
14933;62
14995;56
15050;50
15101;51
15152;50
15202;50
15252;52
15304;52
15356;62
15418;62
15479;59
15539;52
15592;50
15642;50
15692;50
15742;50
15792;50
15842;50
15892;54
15946;62
16007;50
16058;54
16112;50
16162;50
16212;51
16263;55
16318;55
16373;57
16430;56
16486;52
16538;49
16587;50
16637;49
16686;62
16748;56
16804;49
16854;52
16906;56
16962;49
17011;53
17064;50
17114;49
17163;60
17223;71
17294;63
17358;111
17469;69
17538;63
17601;57
17658;59
17717;50
17767;51
17818;53
17871;58
17929;60
17990;58
18048;50
18098;58
18156;54
18210;63
18273;68
18341;68
18409;78
18487;69
18557;67
18624;69
18693;97
18791;60
18851;62
18913;83
18996;88
19083;82
19166;61
19227;69
19296;69
19364;68
19433;73
19506;76
19582;64
19646;54
19699;49
19749;50
19799;55
19854;50
19904;54
19959;56
20015;50
20065;51
20116;50
20166;49
20215;52
20267;51
20318;50
20368;50
20419;49
20468;52
20519;49
20569;52
20621;50
20670;49
20720;50
20770;60
20830;54
20884;56
20940;59
20999;51
21050;51
21101;51
21152;52
21203;49
21253;53
21306;50
21356;72
21428;62
21490;53
21544;51
21595;50
21645;50
21695;50
21744;53
21798;50
21848;55
21903;61
21964;59
22023;50
22073;52
22125;50
22175;53
22228;49
22277;53
22330;50
22380;58
22438;57
22495;51
22546;50
22596;52
22648;53
22701;49
22750;57
22807;61
22869;65
22935;55
22990;51
23041;50
23091;51
23142;51
23193;50
23243;52
23295;54
23349;62
23411;60
23471;50
23521;50
23570;50
23621;52
23673;51
23724;51
23774;50
23825;49
23874;50
23924;56
23980;49
24029;50
24079;50
24129;51
24180;51
24231;51
24282;51
24333;50
24382;50
24433;63
24496;50
24546;74
24620;68
24688;85
24773;78
24851;50
24901;52
24953;50
25003;50
25052;49
25102;50
25152;50
